# StuckWin Game
# Nathan BOSCHI, Jessy MOUGAMMADALY / Groupe 29
# Game played with Graphical interface (2022-12-09 11:09:05)
color,start,dest,result
B,F4,E5,OK
R,D6,E6,OK
B,G4,F5,OK
R,D7,A0,EXT_BOARD
R,D7,C7,DEST_NOT_FREE
R,D7,D6,OK
B,F3,E4,OK
R,E3,D4,BAD_COLOR
R,C5,D4,OK
B,G3,F4,OK
R,D6,D5,OK
B,G2,F3,OK
R,B5,C5,OK
B,E2,D3,OK
R,F1,E2,BAD_COLOR
R,B4,C3,OK
B,E1,A0,EXT_BOARD
B,D1,C2,OK
R,A4,B3,OK
B,D4,A4,BAD_COLOR
B,D3,B5,TOO_FAR
B,F1,E2,OK
R,A5,B5,OK
B,G1,G2,OK
R,B5,C4,OK
B,E1,D1,OK
R,C7,D6,OK
B,G2,G3,OK
R,A6,B5,OK
B,G3,G4,OK
R,B5,B4,OK
